Region,Interest
Macao,
Hong Kong,100
Singapore,86
Guam,
Brunei,
Northern Mariana Islands,
Greenland,
Australia,42
Malta,
Poland,39
United Arab Emirates,37
Slovakia,36
United States,36
Mongolia,
Malaysia,35
Gibraltar,
Czechia,35
Sweden,32
San Marino,
Albania,
Mexico,30
United Kingdom,30
New Zealand,30
Hungary,29
Netherlands,29
Cyprus,
Lithuania,29
Taiwan,29
Bhutan,
Romania,29
Philippines,29
Canada,28
Puerto Rico,
China,27
Kosovo,
Isle of Man,
Montenegro,
Croatia,26
Estonia,
Norway,26
Iceland,
Indonesia,26
Qatar,
Faroe Islands,
Åland Islands,
North Macedonia,
Denmark,24
Bahrain,
Luxembourg,
Lebanon,
Bosnia & Herzegovina,
Chile,22
Greece,22
Bermuda,
Latvia,
Portugal,21
Curaçao,
Ireland,21
Austria,21
Jersey,
Germany,21
Italy,20
Belgium,20
Serbia,20
Finland,20
Switzerland,20
Aruba,
Réunion,
Armenia,
Guernsey,
Liechtenstein,
Moldova,
Maldives,
Mauritius,
Kuwait,
U.S. Virgin Islands,
Turkmenistan,
Türkiye,17
Azerbaijan,
Slovenia,
Brazil,17
Seychelles,
Vietnam,16
Argentina,16
Panama,
Caribbean Netherlands,
Belize,
Morocco,15
St. Kitts & Nevis,
Spain,14
Bulgaria,14
Cambodia,
Georgia,
Turks & Caicos Islands,
Andorra,
France,14
Peru,13
Costa Rica,
Uruguay,
Mayotte,
Suriname,
Myanmar (Burma),
New Caledonia,
American Samoa,
Cayman Islands,
Pakistan,11
Fiji,
Paraguay,
Oman,
French Polynesia,
Ecuador,10
Tunisia,
Timor-Leste,
Barbados,
El Salvador,
Trinidad & Tobago,
Guatemala,
Bahamas,
Dominica,
Guyana,
Antigua & Barbuda,
Martinique,
Jordan,
Nigeria,8
Honduras,
Colombia,8
Thailand,8
French Guiana,
South Africa,8
Nepal,
Cape Verde,
India,7
St. Lucia,
Grenada,
Guadeloupe,
Dominican Republic,
Cuba,
Ghana,
St. Barthélemy,
Uzbekistan,
Jamaica,
St. Vincent & Grenadines,
Israel,
Nicaragua,
Western Sahara,
Sri Lanka,
Saudi Arabia,5
Djibouti,
Venezuela,
Bolivia,
St. Helena,
Egypt,4
Botswana,
Algeria,
Namibia,
Sierra Leone,
Laos,
Iraq,
Zimbabwe,
Madagascar,
Kazakhstan,
Ukraine,3
Palestine,
South Korea,2
Mauritania,
Bangladesh,
Kenya,
Gabon,
Afghanistan,
Cameroon,
Eswatini,
Lesotho,
Kyrgyzstan,
Tajikistan,
Liberia,
Japan,2
Angola,
Russia,2
Gambia,
Tanzania,
Belarus,
Senegal,
Côte d’Ivoire,
Zambia,
Syria,
South Sudan,
Libya,
Togo,
Malawi,
Rwanda,
Niger,
Mozambique,
Papua New Guinea,
Guinea,
Somalia,
Iran,1
Ethiopia,
Benin,
Uganda,
Micronesia,
Haiti,
Tonga,
Sint Maarten,
Burkina Faso,
Mali,
Congo - Kinshasa,
Samoa,
Yemen,
Vanuatu,
Congo - Brazzaville,
Chad,
Sudan,
Nauru,
Anguilla,
São Tomé & Príncipe,
Eritrea,
Guinea-Bissau,
St. Pierre & Miquelon,
Christmas Island,
Equatorial Guinea,
Tokelau,
Comoros,
Cook Islands,
Heard & McDonald Islands,
Solomon Islands,
Svalbard & Jan Mayen,
British Indian Ocean Territory,
Tuvalu,
South Georgia & South Sandwich Islands,
Kiribati,
St. Martin,
Cocos (Keeling) Islands,
U.S. Outlying Islands,
Central African Republic,
Bouvet Island,
Monaco,
Vatican City,
North Korea,
Marshall Islands,
British Virgin Islands,
Burundi,
French Southern Territories,
Palau,
Wallis & Futuna,
Montserrat,
Antarctica,
Pitcairn Islands,
Norfolk Island,
Niue,
Falkland Islands (Islas Malvinas),
